movie_name,genre,rating,vote_count,duration
Devo,documentary,7.6,687,1h 34m
The Menendez Brothers,documentary,7.0,10000,1h 59m
No Other Land,documentary,8.3,15000,1h 32m
Will & Harper,documentary,7.4,13000,1h 54m
Satisfied,documentary,7.4,20,1h 24m
The Remarkable Life of Ibelin,documentary,8.2,14000,1h 43m
A New Kind of Wilderness,documentary,7.6,1500,1h 24m
Apocalypse in the Tropics,documentary,7.6,1800,1h 50m
Chain Reactions,documentary,7.1,138,1h 43m
Make It Look Real,documentary,6.8,47,1h 18m
The Lost Children,documentary,7.0,3200,1h 36m
2073,documentary,5.1,3500,1h 25m
My Undesirable Friends: Part I - Last Air in Moscow,documentary,8.0,26,5h 24m
Buy Now! The Shopping Conspiracy,documentary,6.7,7200,1h 24m
Pavements,documentary,7.1,760,2h 8m
Checkpoint Zoo,documentary,7.8,82,1h 43m
Golden Opulence: 500 Years of Luxury in Anatolia,documentary,9.5,1600,50m
Super/Man: The Christopher Reeve Story,documentary,8.0,11000,1h 44m
Andrea Bocelli: Because I Believe,documentary,7.1,28,1h 47m
Architecton,documentary,6.4,562,1h 38m
The Last Republican,documentary,7.5,82,1h 30m
Mistress Dispeller,documentary,6.9,184,1h 34m
Beatles '64,documentary,7.2,2800,1h 46m
Lover Stalker Killer,documentary,7.0,14000,1h 30m
Jim Henson: Idea Man,documentary,7.7,4000,1h 51m
Music by John Williams,documentary,8.2,5300,1h 45m
Behind the Lines,documentary,8.7,36,1h 47m
The Program,documentary,7.1,946,1h 42m
Songs from the Hole,documentary,6.2,119,1h 37m
Soundtrack to a Coup d'Etat,documentary,7.8,3400,2h 30m
Am I Racist?,documentary,6.6,17000,1h 40m
Avicii - I'm Tim,documentary,7.7,7700,1h 35m
Black Box Diaries,documentary,7.5,3900,1h 42m
Sugarcane,documentary,7.0,3600,1h 47m
Yacht Rock: A Dockumentary,documentary,7.6,2100,1h 35m
"There Was, There Was Not",documentary,7.9,134,1h 34m
Johatsu: Into Thin Air,documentary,6.4,258,1h 26m
Liza: A Truly Terrific Absolutely True Story,documentary,7.5,579,1h 44m
The Bibi Files,documentary,7.5,1500,1h 55m
Billy & Molly: An Otter Love Story,documentary,8.0,2200,1h 17m
What Jennifer Did,documentary,6.1,12000,1h 27m
The Thinking Game,documentary,7.6,385,1h 24m
The Beach Boys,documentary,7.1,2300,1h 53m
One to One: John & Yoko,documentary,7.3,805,1h 41m
The War on Truth,documentary,8.2,7,N/A
Grand Theft Hamlet,documentary,6.9,2300,1h 29m
Martha,documentary,7.2,4300,1h 55m
Becoming Madonna,documentary,6.8,502,1h 31m
The Greatest Night in Pop,documentary,7.9,15000,1h 36m
Vice Is Broke,documentary,6.9,78,1h 42m
Riefenstahl,documentary,7.1,980,1h 55m
Inside the Mind of a Dog,documentary,7.2,2500,1h 15m
The Donn of Tiki,documentary,9.3,26,1h 40m
We Will Dance Again,documentary,7.6,11000,1h 30m
Bambi: A Tale of Life in the Woods,documentary,5.6,319,1h 18m
I'm Your Venus,documentary,7.1,565,1h 25m
Endurance,documentary,7.5,1900,1h 43m
Eight Postcards from Utopia,documentary,6.3,229,1h 11m
They Called Him Mostly Harmless,documentary,5.9,3400,1h 29m
Russians at War,documentary,2.2,1100,2h 14m
Family Secrets: The Disappearance of Alissa Turney,documentary,6.6,385,1h 24m
God & Country,documentary,6.3,1200,1h 30m
Elton John: Never Too Late,documentary,6.6,2100,1h 42m
Apollo 13: Survival,documentary,7.4,2700,1h 38m
Skywalkers: A Love Story,documentary,7.1,3700,1h 40m
Secret Mall Apartment,documentary,7.3,605,1h 31m
Brats,documentary,6.5,7100,1h 32m
Anxiety Club,documentary,8.2,20,1h 26m
Neal Brennan: Crazy Good,documentary,7.2,1400,53m
The Bloody Hundredth,documentary,7.5,2800,1h 2m
Bad Faith,documentary,7.4,1500,1h 29m
Jailbreak: Love on the Run,documentary,6.4,3600,1h 28m
Vis.Viata,documentary,7.6,41,1h 24m
Growing Happiness,documentary,7.2,19,1h 28m
Broken Eyes,documentary,9.1,10,1h 18m
Nicola Bulley: The Disappearance That Gripped Britain,documentary,6.5,32,N/A
Gaucho Gaucho,documentary,7.0,335,1h 25m
Porcelain War,documentary,7.1,1300,1h 27m
All Illusions Must Be Broken,documentary,7.7,31,1h 29m
The Blue Angels,documentary,7.3,2900,1h 33m
Faye,documentary,7.1,3200,1h 31m
An Open Door: Temple Grandin,documentary,8.1,15,1h
Hayao Miyazaki and the Heron,documentary,7.8,1100,2h
Hack Your Health: The Secrets of Your Gut,documentary,6.6,3400,1h 19m
Waiting For The Drop: Rise of the Superstar DJs,documentary,9.5,12,1h 33m
Stopping the Steal,documentary,7.4,1500,1h 30m
Jo Koy: Live from Brooklyn,documentary,6.6,815,59m
Life and Other Problems,documentary,7.3,73,1h 39m
E.1027: Eileen Gray and the House by the Sea,documentary,7.0,153,1h 29m
Wisdom of Happiness,documentary,7.1,184,1h 30m
Witches,documentary,7.4,1400,1h 30m
Sweet Bobby: My Catfish Nightmare,documentary,6.2,6000,1h 22m
