movie_name,genre,rating,vote_count,duration
The Substance,horror,7.2,335000,2h 21m
Nosferatu,horror,7.2,230000,2h 12m
Alien: Romulus,horror,7.1,264000,1h 59m
Heretic,horror,7.0,184000,1h 51m
Longlegs,horror,6.6,202000,1h 41m
Speak No Evil,horror,6.8,118000,1h 50m
Beetlejuice Beetlejuice,horror,6.6,160000,1h 45m
A Sacrifice,horror,5.0,6300,1h 34m
Smile 2,horror,6.7,122000,2h 7m
Presence,horror,6.1,35000,1h 24m
Trap,horror,5.8,149000,1h 45m
Oddity,horror,6.7,50000,1h 38m
MaXXXine,horror,6.2,77000,1h 43m
Kinds of Kindness,horror,6.5,63000,2h 44m
Terrifier 3,horror,6.3,54000,2h 5m
Witchboard,horror,5.7,497,1h 52m
Abigail,horror,6.5,104000,1h 49m
A Quiet Place: Day One,horror,6.3,160000,1h 39m
The A-Frame,horror,5.4,188,1h 22m
Don't Move,horror,5.8,42000,1h 32m
Arcadian,horror,5.5,25000,1h 32m
The Watchers,horror,5.7,61000,1h 42m
Salem's Lot,horror,5.6,37000,1h 54m
Azrael,horror,5.3,13000,1h 26m
Noise,horror,5.8,353,1h 33m
The Crow,horror,4.7,38000,1h 51m
River of Blood,horror,4.8,2500,1h 26m
Get Away,horror,5.3,9000,1h 26m
Bone Lake,horror,6.6,89,1h 34m
Cloud,horror,6.4,2400,2h 4m
The Damned,horror,5.7,6500,1h 29m
Immaculate,horror,5.8,56000,1h 29m
The Deliverance,horror,5.1,24000,1h 52m
Nightbitch,horror,5.5,22000,1h 39m
Cuckoo,horror,5.7,31000,1h 42m
Apartment 7A,horror,5.9,18000,1h 47m
MadS,horror,6.4,9700,1h 29m
Lembayung,horror,5.9,824,2h 3m
The Rule of Jenny Pen,horror,6.2,7800,1h 44m
Time Cut,horror,5.0,21000,1h 31m
Night Swim,horror,4.7,29000,1h 38m
Y2K,horror,4.8,18000,1h 31m
The First Omen,horror,6.5,67000,1h 59m
Tarot,horror,4.8,34000,1h 32m
The Shrouds,horror,5.8,5800,2h
Hellboy: The Crooked Man,horror,4.5,15000,1h 39m
Monster Island,horror,5.2,1300,1h 23m
Shelby Oaks,horror,5.4,363,1h 39m
Strange Harvest,horror,6.6,425,1h 34m
Went Up the Hill,horror,6.2,222,1h 40m
The Strangers: Chapter 1,horror,4.6,24000,1h 31m
Werewolves,horror,4.4,8100,1h 33m
Survive,horror,4.6,3800,1h 30m
Dirty Boy,horror,7.4,53,1h 38m
Exhuma,horror,6.9,26000,2h 14m
Queen of Bones,horror,4.5,424,1h 30m
Night of the Zoopocalypse,horror,6.0,1100,1h 31m
Please Don't Feed the Children,horror,4.7,863,1h 34m
Traumatika,horror,5.8,76,1h 27m
Jimmy and Stiggs,horror,6.0,271,1h 19m
The Master and Margarita,horror,7.1,5600,2h 36m
In a Violent Nature,horror,5.6,29000,1h 34m
Apocalypse Z: The Beginning of the End,horror,6.1,22000,1h 57m
Never Let Go,horror,5.4,17000,1h 41m
Push,horror,4.7,782,1h 29m
Rumours,horror,4.9,5600,1h 44m
Jeffrey's Hell,horror,4.7,137,1h 20m
The Platform 2,horror,4.9,43000,1h 39m
Cellar Door,horror,5.2,5200,1h 37m
Lisa Frankenstein,horror,6.1,29000,1h 41m
Frewaka,horror,6.1,2100,1h 43m
The Balconettes,horror,5.8,1800,1h 44m
Under Paris,horror,5.2,38000,1h 44m
Die Alone,horror,5.8,4300,1h 30m
Bramayugam,horror,7.8,15000,2h 19m
The House on Laura Anne Dr.,horror,5.4,1700,1h 15m
Succubus,horror,4.6,1500,1h 43m
Dead Mail,horror,6.0,2600,1h 46m
The Devil's Bath,horror,6.6,7100,2h 1m
Scurry,horror,7.8,32,1h 30m
Animale,horror,5.8,412,1h 38m
The Beast Within,horror,4.3,5600,1h 37m
Ick,horror,5.7,404,1h 33m
