movie_name,genre,rating,vote_count,duration
Eden,thriller,6.4,13000.0,02:09:00
Relay,thriller,7.3,2000.0,01:52:00
Alien: Romulus,thriller,7.1,264000.0,01:59:00
Heretic,thriller,7.0,184000.0,01:51:00
The Surfer,thriller,6.0,14000.0,01:40:00
Babygirl,thriller,5.8,70000.0,01:54:00
Longlegs,thriller,6.6,202000.0,01:41:00
The Beekeeper,thriller,6.3,168000.0,01:45:00
Drive-Away Dolls,thriller,5.4,25000.0,01:24:00
Carry-On,thriller,6.5,178000.0,01:59:00
Conclave,thriller,7.4,217000.0,02:00:00
Rebel Ridge,thriller,6.8,95000.0,02:11:00
Kraven the Hunter,thriller,5.5,71000.0,02:07:00
Twisters,thriller,6.5,182000.0,02:02:00
The Order,thriller,6.8,54000.0,01:56:00
Juror #2,thriller,7.0,112000.0,01:54:00
Kingdom of the Planet of the Apes,thriller,6.8,159000.0,02:25:00
Civil War,thriller,7.0,250000.0,01:49:00
Speak No Evil,thriller,6.8,118000.0,01:50:00
A Sacrifice,thriller,5.0,6300.0,01:34:00
Blink Twice,thriller,6.5,116000.0,01:42:00
Wolfs,thriller,6.5,93000.0,01:48:00
Subservience,thriller,5.4,32000.0,01:46:00
Road House,thriller,6.2,174000.0,02:01:00
Smile 2,thriller,6.7,122000.0,02:07:00
Presence,thriller,6.1,35000.0,01:24:00
Venom: The Last Dance,thriller,6.0,139000.0,01:50:00
The Count of Monte-Cristo,thriller,7.6,40000.0,02:58:00
Trap,thriller,5.8,149000.0,01:45:00
Oddity,thriller,6.7,50000.0,01:38:00
The Union,thriller,5.5,55000.0,01:47:00
September 5,thriller,7.1,30000.0,01:35:00
Borderlands,thriller,4.7,53000.0,01:41:00
Joker: Folie à Deux,thriller,5.2,171000.0,02:18:00
40 Acres,thriller,6.5,3500.0,01:53:00
Abigail,thriller,6.5,104000.0,01:49:00
Sharp Corner,thriller,5.9,2900.0,01:50:00
It's What's Inside,thriller,6.6,46000.0,01:43:00
Madame Web,thriller,4.1,106000.0,01:56:00
Caddo Lake,thriller,6.8,48000.0,01:43:00
Argylle,thriller,5.6,96000.0,02:19:00
A Quiet Place: Day One,thriller,6.3,160000.0,01:39:00
Elevation,thriller,5.6,26000.0,01:31:00
The A-Frame,thriller,5.4,187.0,01:22:00
Land of Bad,thriller,6.6,55000.0,01:53:00
Bad Boys: Ride or Die,thriller,6.5,106000.0,01:55:00
Barron's Cove,thriller,6.0,757.0,01:56:00
Monkey Man,thriller,6.8,96000.0,02:01:00
Don't Move,thriller,5.8,42000.0,01:32:00
Maharaja,thriller,8.4,73000.0,02:21:00
Arcadian,thriller,5.5,25000.0,01:32:00
The Watchers,thriller,5.7,61000.0,01:42:00
Miller's Girl,thriller,5.2,25000.0,01:33:00
Love Lies Bleeding,thriller,6.6,60000.0,01:44:00
Godzilla x Kong: The New Empire,thriller,6.0,127000.0,01:55:00
Sleeping Dogs,thriller,6.2,24000.0,01:50:00
Salem's Lot,thriller,5.6,37000.0,01:54:00
Noise,thriller,5.8,353.0,01:33:00
Beverly Hills Cop: Axel F,thriller,6.4,84000.0,01:58:00
The Crow,thriller,4.7,38000.0,01:51:00
Emilia Pérez,thriller,5.4,93000.0,02:12:00
River of Blood,thriller,4.8,2500.0,01:26:00
Bone Lake,thriller,6.6,89.0,01:34:00
Long Distance,thriller,5.7,5400.0,01:26:00
Cloud,thriller,6.4,2400.0,02:04:00
Kung Fu Panda 4,thriller,6.3,73000.0,01:34:00
Immaculate,thriller,5.8,56000.0,01:29:00
The Luckiest Man in America,thriller,6.2,5200.0,01:31:00
The Deliverance,thriller,5.1,24000.0,01:52:00
A Different Man,thriller,6.9,34000.0,01:52:00
Cuckoo,thriller,5.7,31000.0,01:42:00
Apartment 7A,thriller,5.9,18000.0,01:47:00
MadS,thriller,6.4,9700.0,01:29:00
Lembayung,thriller,5.9,824.0,02:03:00
Room Six,thriller,3.9,189.0,01:21:00
Mørkeland,thriller,6.2,1300.0,01:39:00
The Killer,thriller,5.7,15000.0,02:06:00
The Instigators,thriller,6.2,40000.0,01:41:00
The Rule of Jenny Pen,thriller,6.2,7800.0,01:44:00
Lucky Baskhar,thriller,8.0,37000.0,02:28:00
Time Cut,thriller,5.0,21000.0,01:31:00
Night Swim,thriller,4.7,29000.0,01:38:00
The Shadow Strays,thriller,6.5,10000.0,02:24:00
King Ivory,thriller,6.2,470.0,02:10:00
The Killer's Game,thriller,5.8,19000.0,01:44:00
Force of Nature: The Dry 2,thriller,5.9,8100.0,02:00:00
Atlas,thriller,5.6,58000.0,01:58:00
The Shrouds,thriller,5.8,5800.0,02:00:00
In Vitro,thriller,5.6,427.0,01:29:00
Hellboy: The Crooked Man,thriller,4.5,15000.0,01:39:00
The Seed of the Sacred Fig,thriller,7.6,17000.0,02:47:00
Shelby Oaks,thriller,5.4,363.0,01:39:00
Pushpa: The Rule - Part 2,thriller,6.1,61000.0,03:21:00
Kalki 2898 AD,thriller,7.0,70000.0,03:00:00
Weekend in Taipei,thriller,5.7,5900.0,01:40:00
Went Up the Hill,thriller,6.2,222.0,01:40:00
Dirty Angels,thriller,4.5,4900.0,01:44:00
Werewolves,thriller,4.4,8100.0,01:33:00
Ask Me What You Want,thriller,3.9,1500.0,01:54:00
Lift,thriller,5.5,51000.0,01:47:00
F*** Marry Kill,thriller,5.4,4200.0,01:37:00
Bring Them Down,thriller,6.5,4800.0,01:46:00
Survive,thriller,4.6,3800.0,01:30:00
Dirty Boy,thriller,7.4,53.0,01:38:00
Queen of Bones,thriller,4.5,424.0,01:30:00
Please Don't Feed the Children,thriller,4.7,863.0,01:34:00
Homestead,thriller,5.2,4500.0,01:52:00
The Cut,thriller,6.7,133.0,01:39:00
Mothers' Instinct,thriller,6.3,22000.0,01:34:00
Long Gone Heroes,thriller,5.1,1600.0,01:41:00
Absolution,thriller,5.2,9600.0,01:52:00
The Courier,thriller,6.0,4900.0,01:41:00
The Master and Margarita,thriller,7.1,5600.0,02:36:00
In a Violent Nature,thriller,5.6,29000.0,01:34:00
Megamind vs. The Doom Syndicate,thriller,2.4,5900.0,01:23:00
Apocalypse Z: The Beginning of the End,thriller,6.1,22000.0,01:57:00
Never Let Go,thriller,5.4,17000.0,01:41:00
Uprising,thriller,6.6,6300.0,02:06:00
Push,thriller,4.7,782.0,01:29:00
Greedy People,thriller,6.2,13000.0,01:52:00
The Platform 2,thriller,4.9,43000.0,01:39:00
Cellar Door,thriller,5.2,5200.0,01:37:00
Boneyard,thriller,4.1,5500.0,01:36:00
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,thriller,7.2,9300.0,01:44:00
The Silent Hour,thriller,6.1,8900.0,01:39:00
Levels,thriller,5.0,1700.0,01:33:00
Under Paris,thriller,5.2,38000.0,01:44:00
Die Alone,thriller,5.8,4300.0,01:30:00
Bramayugam,thriller,7.8,15000.0,02:19:00
Armor,thriller,3.6,5000.0,01:29:00
The Wasp,thriller,6.1,5400.0,01:36:00
Skincare,thriller,5.7,5300.0,01:36:00
Canary Black,thriller,5.4,13000.0,01:41:00
The Prosecutor,thriller,6.5,3200.0,01:57:00
Succubus,thriller,4.6,1500.0,01:43:00
Dead Mail,thriller,6.0,2600.0,01:46:00
The Devil's Bath,thriller,6.6,7100.0,02:01:00
Kishkindha Kaandam,thriller,8.0,14000.0,02:13:00
Scurry,thriller,7.8,32.0,01:30:00
The Old Bachelor,thriller,7.9,1600.0,03:12:00
Take Cover,thriller,5.1,3300.0,01:30:00
Night Call,thriller,6.7,2800.0,01:37:00
On the Run,thriller,5.0,157.0,01:40:00
Red Right Hand,thriller,5.5,6300.0,01:51:00
Slingshot,thriller,5.7,11000.0,01:48:00
Alien: Rubicon,thriller,2.4,673.0,01:26:00
Chime,thriller,6.4,3000.0,00:45:00
Sew Torn,thriller,6.0,1300.0,01:40:00
Black Dog,thriller,7.2,4300.0,01:56:00
Trigger Warning,thriller,4.6,20000.0,01:46:00
Shaitaan,thriller,6.5,55000.0,02:12:00
Magpie,thriller,6.2,4200.0,01:30:00
Life After Fighting,thriller,6.4,2300.0,02:06:00
Marmalade,thriller,6.3,3900.0,01:39:00
Twilight of the Warriors: Walled In,thriller,6.9,11000.0,02:06:00
Whisper of the Witch,thriller,3.9,353.0,01:35:00
Guns & Moses,thriller,6.4,270.0,01:34:00
Everyone Is Going to Die,thriller,3.8,470.0,01:24:00
Saint Clare,thriller,4.5,733.0,01:32:00
2073,thriller,5.1,3500.0,01:25:00
Blackwater Lane,thriller,4.6,2500.0,01:48:00
Killer Heat,thriller,5.6,14000.0,01:35:00
Manjummel Boys,thriller,8.2,30000.0,02:15:00
Santosh,thriller,7.1,2900.0,02:08:00
Saripodhaa Sanivaaram,thriller,7.0,11000.0,02:46:00
Black,thriller,7.1,3000.0,01:55:00
Outbreak,thriller,4.4,1500.0,01:28:00
Marco,thriller,6.7,24000.0,02:25:00
Grave Torture,thriller,6.2,3200.0,01:57:00
Do Patti,thriller,6.3,70000.0,02:06:00
The Corpse Washer,thriller,6.1,1400.0,01:47:00
The Exorcism,thriller,4.2,12000.0,01:35:00
Winner,thriller,6.5,2900.0,01:43:00
Sting,thriller,5.7,18000.0,01:31:00
Amber Alert,thriller,6.1,6300.0,01:30:00
Imaginary,thriller,4.7,18000.0,01:44:00
Sookshma Darshini,thriller,7.8,12000.0,02:22:00
The Soul Eater,thriller,5.8,3200.0,01:48:00
The Kingdom,thriller,7.0,1400.0,01:52:00
Bonhoeffer: Pastor. Spy. Assassin.,thriller,6.2,4100.0,02:13:00
My Fault,thriller,4.2,7200.0,02:00:00
Something in the Water,thriller,4.1,5400.0,01:26:00
Afraid,thriller,5.2,15000.0,01:24:00
Humane,thriller,5.5,7900.0,01:33:00
Undercover,thriller,7.1,5200.0,01:58:00
Bagheera,thriller,6.7,8100.0,02:38:00
Damaged,thriller,4.7,7900.0,01:37:00
Sector 36,thriller,7.1,26000.0,02:03:00
Inside,thriller,6.3,747.0,01:44:00
The Greatest of All Time,thriller,5.7,24000.0,03:03:00
Bedspacer,thriller,4.4,408.0,01:30:00
Restless,thriller,6.3,906.0,01:29:00
Dead Talents Society,thriller,7.0,2900.0,01:51:00
Rich Flu,thriller,5.0,6900.0,01:56:00
Drive Back,thriller,4.5,786.0,01:34:00
We Bury the Dead,thriller,6.3,157.0,01:34:00
Grafted,thriller,5.6,2900.0,01:36:00
Lake George,thriller,6.4,1700.0,01:58:00
The Intruder,thriller,4.6,602.0,01:41:00
Shell,thriller,6.7,86.0,01:40:00
The Contract,thriller,6.9,90.0,01:45:00
Escape,thriller,6.4,2400.0,01:34:00
The Mouse Trap,thriller,2.4,3800.0,01:20:00
Depravity,thriller,4.3,1300.0,01:57:00
One of Those Days When Hemme Dies,thriller,6.3,1100.0,01:23:00
V/H/S/Beyond,thriller,5.8,10000.0,01:54:00
She's Got No Name,thriller,5.5,363.0,01:34:00
Blood Star,thriller,6.3,6300.0,01:37:00
Hidden Face,thriller,6.1,751.0,01:55:00
The Inheritance,thriller,4.7,3200.0,01:25:00
Things Will Be Different,thriller,5.2,3000.0,01:42:00
No Way Up,thriller,4.6,11000.0,01:30:00
How to Make a Killing,thriller,6.5,1800.0,01:49:00
The Ruse,thriller,7.1,583.0,01:45:00
Simp,thriller,3.2,180.0,01:40:00
Pani,thriller,6.9,3500.0,02:23:00
Aftermath,thriller,5.2,4600.0,01:37:00
Thalavan,thriller,7.2,5800.0,02:11:00
Viduthalai Part 2,thriller,7.7,17000.0,02:50:00
Race for Glory: Audi vs. Lancia,thriller,5.8,5300.0,01:49:00
Chief of Station,thriller,4.7,5100.0,01:37:00
Singham Again,thriller,4.3,76000.0,02:24:00
Brief History of a Family,thriller,6.8,618.0,01:40:00
Somnium,thriller,8.4,73.0,01:32:00
A Desert,thriller,5.6,685.0,01:43:00
Code 8: Part II,thriller,5.7,16000.0,01:40:00
Gazer,thriller,5.6,358.0,01:54:00
Milk & Serial,thriller,6.6,2800.0,01:02:00
Breathe,thriller,4.3,7800.0,01:33:00
Bitter Gold,thriller,7.7,101.0,01:23:00
Badland Hunters,thriller,5.9,13000.0,01:47:00
Devil Is a Liar,thriller,,,01:39:00
The Front Room,thriller,4.6,6100.0,01:34:00
The Clean Up Crew,thriller,4.2,1400.0,01:35:00
Despatch,thriller,4.4,4800.0,02:33:00
Sikandar Ka Muqaddar,thriller,6.0,25000.0,02:22:00
The Roundup: Punishment,thriller,6.6,6000.0,01:49:00
A Mistake,thriller,5.7,1300.0,01:41:00
Sons,thriller,6.4,2600.0,01:40:00
Maldoror,thriller,6.6,1300.0,02:35:00
Sumala,thriller,5.8,1300.0,01:52:00
Classified,thriller,3.7,3000.0,01:45:00
Merry Christmas,thriller,6.9,30000.0,02:24:00
Zero,thriller,5.8,93.0,01:28:00
Prey,thriller,3.7,3700.0,01:26:00
5lbs of Pressure,thriller,5.3,1800.0,01:51:00
Devara Part 1,thriller,6.0,22000.0,02:56:00
Dead Money,thriller,5.8,802.0,01:40:00
Lioness,thriller,7.1,243.0,01:44:00
Parallel,thriller,5.3,2100.0,01:28:00
Elyas,thriller,6.1,1800.0,01:45:00
Believer,thriller,4.7,499.0,01:48:00
Motel Destino,thriller,6.5,2300.0,01:55:00
Winnie-the-Pooh: Blood and Honey 2,thriller,4.6,12000.0,01:33:00
The Hostage,thriller,4.3,20.0,01:27:00
Crescent City,thriller,3.9,1500.0,01:43:00
Death Whisperer 2,thriller,6.3,1600.0,01:50:00
Vanished Into the Night,thriller,5.2,4900.0,01:32:00
Hijack '93,thriller,3.8,1000.0,01:27:00
Harbin,thriller,6.2,1200.0,01:48:00
CTRL,thriller,6.2,6500.0,01:39:00
Yodha,thriller,5.7,9100.0,02:10:00
Raayan,thriller,6.5,13000.0,02:25:00
Bade Miyan Chote Miyan,thriller,3.8,40000.0,02:43:00
The Thundermans Return,thriller,5.0,2000.0,01:10:00
Why Do You?,thriller,5.4,493.0,01:43:00
Beezel,thriller,4.9,1700.0,01:21:00
1978,thriller,5.0,956.0,01:20:00
Bad Genius,thriller,6.2,2800.0,01:36:00
Detained,thriller,4.9,2000.0,01:37:00
The Wages of Fear,thriller,4.6,4300.0,01:44:00
House of Spoils,thriller,5.0,4100.0,01:41:00
Following,thriller,6.5,1500.0,01:42:00
The Painted,thriller,4.9,1300.0,01:25:00
Dead Sea,thriller,5.2,5600.0,01:28:00
Lazareth,thriller,4.4,1100.0,01:26:00
Jigra,thriller,6.0,24000.0,02:33:00
Here After,thriller,4.2,1900.0,01:33:00
Cult Killer,thriller,4.8,3100.0,01:45:00
To Die Alone,thriller,4.8,125.0,01:24:00
Maid Droid Origins,thriller,3.0,359.0,01:36:00
Moon,thriller,6.8,680.0,01:32:00
Wynonna Earp: Vengeance,thriller,5.6,1800.0,01:36:00
Darkest Miriam,thriller,5.7,407.0,01:27:00
Kali,thriller,5.2,434.0,01:36:00
"I, the Executioner",thriller,6.3,2200.0,01:58:00
Dancing Village: The Curse Begins,thriller,5.7,4300.0,02:02:00
Reawakening,thriller,6.2,447.0,01:30:00
Blackout,thriller,6.1,11000.0,02:02:00
Estela,thriller,5.5,54.0,01:29:00
In Flight,thriller,3.6,267.0,01:30:00
The Painter,thriller,4.7,2500.0,01:40:00
Colors of Evil: Red,thriller,6.4,8900.0,01:51:00
The Image of You,thriller,4.6,947.0,01:30:00
Zebra,thriller,7.1,3400.0,02:44:00
Karma,thriller,7.9,1500.0,02:47:00
Anweshippin Kandethum,thriller,7.4,11000.0,02:22:00
